observation_id,timestamp_utc,environment,service,endpoint,status_code,duration_ms,request_id,trace_id
base-001,2026-07-18T08:00:00Z,lab,frontend,/products,200,165.5,req-base-001,trace-base-001
base-002,2026-07-18T08:02:00Z,lab,frontend,/products,200,174.5,req-base-002,trace-base-002
base-003,2026-07-18T08:04:00Z,lab,frontend,/products,200,164.5,req-base-003,trace-base-003
base-004,2026-07-18T08:06:00Z,lab,frontend,/products,200,175.0,req-base-004,trace-base-004
base-005,2026-07-18T08:08:00Z,lab,frontend,/products,200,163.5,req-base-005,trace-base-005
base-006,2026-07-18T08:10:00Z,lab,frontend,/products,200,176.0,req-base-006,trace-base-006
base-007,2026-07-18T08:12:00Z,lab,frontend,/products,200,162.5,req-base-007,trace-base-007
base-008,2026-07-18T08:14:00Z,lab,frontend,/products,200,177.0,req-base-008,trace-base-008
base-009,2026-07-18T08:16:00Z,lab,frontend,/products,200,161.5,req-base-009,trace-base-009
base-010,2026-07-18T08:18:00Z,lab,frontend,/products,200,178.5,req-base-010,trace-base-010
base-011,2026-07-18T08:20:00Z,lab,frontend,/products,200,160.5,req-base-011,trace-base-011
base-012,2026-07-18T08:22:00Z,lab,frontend,/products,200,180.5,req-base-012,trace-base-012
base-013,2026-07-18T08:24:00Z,lab,frontend,/products,200,160.0,req-base-013,trace-base-013
base-014,2026-07-18T08:26:00Z,lab,frontend,/products,200,182.5,req-base-014,trace-base-014
base-015,2026-07-18T08:28:00Z,lab,frontend,/products,200,159.5,req-base-015,trace-base-015
base-016,2026-07-18T08:30:00Z,lab,frontend,/products,200,186.5,req-base-016,trace-base-016
base-017,2026-07-18T08:32:00Z,lab,frontend,/products,200,165.0,req-base-017,trace-base-017
base-018,2026-07-18T08:34:00Z,lab,frontend,/products,200,174.7,req-base-018,trace-base-018
base-019,2026-07-18T08:36:00Z,lab,frontend,/products,200,164.0,req-base-019,trace-base-019
base-020,2026-07-18T08:38:00Z,lab,frontend,/products,200,175.5,req-base-020,trace-base-020
base-021,2026-07-18T08:40:00Z,lab,frontend,/products,200,163.0,req-base-021,trace-base-021
base-022,2026-07-18T08:42:00Z,lab,frontend,/products,200,176.5,req-base-022,trace-base-022
base-023,2026-07-18T08:44:00Z,lab,frontend,/products,200,162.0,req-base-023,trace-base-023
base-024,2026-07-18T08:46:00Z,lab,frontend,/products,200,177.5,req-base-024,trace-base-024
base-025,2026-07-18T08:48:00Z,lab,frontend,/products,200,161.0,req-base-025,trace-base-025
base-026,2026-07-18T08:50:00Z,lab,frontend,/products,200,179.5,req-base-026,trace-base-026
base-027,2026-07-18T08:52:00Z,lab,frontend,/products,200,160.3,req-base-027,trace-base-027
base-028,2026-07-18T08:54:00Z,lab,frontend,/products,200,181.5,req-base-028,trace-base-028
base-029,2026-07-18T08:56:00Z,lab,frontend,/products,200,159.7,req-base-029,trace-base-029
base-030,2026-07-18T08:58:00Z,lab,frontend,/products,200,184.5,req-base-030,trace-base-030
