observation_id,timestamp_utc,environment,service,endpoint,status_code,duration_ms,request_id,trace_id
eval-001,2026-07-18T10:00:00Z,lab,frontend,/products,200,160.0,req-eval-001,trace-eval-001
eval-002,2026-07-18T10:02:00Z,lab,frontend,/products,200,170.0,req-eval-002,trace-eval-002
eval-003,2026-07-18T10:04:00Z,lab,frontend,/products,200,205.0,req-eval-003,trace-eval-003
eval-004,2026-07-18T10:06:00Z,lab,frontend,/products,200,220.0,req-eval-004,trace-eval-004
eval-005,2026-07-18T10:08:00Z,lab,frontend,/products,500,190.0,req-eval-005,trace-eval-005
eval-006,2026-07-18T10:10:00Z,lab,frontend,/products,200,210.0,req-eval-006,trace-eval-006
eval-007,2026-07-18T10:12:00Z,lab,frontend,/products,500,250.0,req-eval-007,trace-eval-007
eval-008,2026-07-18T10:14:00Z,lab,frontend,/products,200,175.0,req-eval-008,trace-eval-008
eval-009,2026-07-18T10:16:00Z,lab,frontend,/products,200,165.0,req-eval-009,trace-eval-009
eval-010,2026-07-18T10:18:00Z,lab,frontend,/products,200,194.0,req-eval-010,trace-eval-010
eval-011,2026-07-18T10:20:00Z,lab,frontend,/products,200,155.0,req-eval-011,trace-eval-011
eval-012,2026-07-18T10:22:00Z,lab,frontend,/products,200,185.0,req-eval-012,trace-eval-012
eval-013,2026-07-18T10:24:00Z,lab,frontend,/products,200,162.0,req-eval-013,trace-eval-013
eval-014,2026-07-18T10:26:00Z,lab,frontend,/products,200,178.0,req-eval-014,trace-eval-014
eval-015,2026-07-18T10:28:00Z,lab,frontend,/products,200,230.0,req-eval-015,trace-eval-015
eval-016,2026-07-18T10:30:00Z,lab,frontend,/products,200,198.0,req-eval-016,trace-eval-016
eval-017,2026-07-18T10:32:00Z,lab,frontend,/products,200,172.0,req-eval-017,trace-eval-017
eval-018,2026-07-18T10:34:00Z,lab,frontend,/products,200,188.0,req-eval-018,trace-eval-018
eval-019,2026-07-18T10:36:00Z,lab,frontend,/products,200,181.0,req-eval-019,trace-eval-019
eval-020,2026-07-18T10:38:00Z,lab,frontend,/products,200,158.0,req-eval-020,trace-eval-020
